y,x,street_count,elevation,highway,ref,railway,geometry
-23.55821,-46.6382561,3,751.7142333984375,,,,POINT (-46.6382561 -23.55821)
-23.5510876,-46.6261325,1,724.154541015625,,,,POINT (-46.6261325 -23.5510876)
-23.5533268,-46.6252641,4,724.9728393554688,traffic_signals,,,POINT (-46.6252641 -23.5533268)
-23.538894,-46.6513228,3,749.4319458007812,,,,POINT (-46.6513228 -23.538894)
-23.5403107,-46.6517752,4,748.4900512695312,,,,POINT (-46.6517752 -23.5403107)
-23.5400651,-46.6526531,3,752.9116821289062,,,,POINT (-46.6526531 -23.5400651)
-23.5593666,-46.6139407,3,725.0517578125,,,,POINT (-46.6139407 -23.5593666)
-23.5560493,-46.6222841,3,724.8953247070312,,,,POINT (-46.6222841 -23.5560493)
-23.5533817,-46.6256869,1,727.1593017578125,,,,POINT (-46.6256869 -23.5533817)
-23.5523785,-46.6257511,1,724.9043579101562,,,,POINT (-46.6257511 -23.5523785)
-23.5519102,-46.6257308,4,724.788330078125,traffic_signals,,,POINT (-46.6257308 -23.5519102)
-23.5522727,-46.6256216,3,724.8641967773438,,,,POINT (-46.6256216 -23.5522727)
-23.5501074,-46.6266488,3,724.7455444335938,,,,POINT (-46.6266488 -23.5501074)
-23.5481997,-46.6286296,3,726.8812255859375,,,,POINT (-46.6286296 -23.5481997)
-23.5461204,-46.6301486,3,725.798828125,,,,POINT (-46.6301486 -23.5461204)
-23.5452747,-46.630243,4,726.0224609375,crossing,,,POINT (-46.630243 -23.5452747)
-23.5444987,-46.6297656,3,724.4938354492188,,,,POINT (-46.6297656 -23.5444987)
-23.5448929,-46.630562,4,724.6505737304688,,,,POINT (-46.630562 -23.5448929)
-23.5428224,-46.6291191,3,723.2984619140625,,,,POINT (-46.6291191 -23.5428224)
-23.5438876,-46.6294514,3,724.62109375,,,,POINT (-46.6294514 -23.5438876)
-23.5436253,-46.6297566,5,723.3098754882812,traffic_signals,,,POINT (-46.6297566 -23.5436253)
-23.5443826,-46.6304609,4,723.8290405273438,crossing,,,POINT (-46.6304609 -23.5443826)
-23.5394006,-46.6271577,4,724.082275390625,traffic_signals,,,POINT (-46.6271577 -23.5394006)
-23.5332714,-46.6254827,3,721.7073974609375,,,,POINT (-46.6254827 -23.5332714)
-23.5330563,-46.6255492,3,721.8392333984375,,,,POINT (-46.6255492 -23.5330563)
-23.5326836,-46.6252162,3,722.6400146484375,,,,POINT (-46.6252162 -23.5326836)
-23.534495,-46.6330324,3,736.8673095703125,,,,POINT (-46.6330324 -23.534495)
-23.5352875,-46.6335629,1,738.0274658203125,,,,POINT (-46.6335629 -23.5352875)
-23.5352466,-46.6337902,3,737.1864624023438,,,,POINT (-46.6337902 -23.5352466)
-23.5352713,-46.6331286,3,737.551513671875,,,,POINT (-46.6331286 -23.5352713)
-23.5353735,-46.6331395,3,737.5380859375,,,,POINT (-46.6331395 -23.5353735)
-23.5414795,-46.634182,4,727.4035034179688,,,,POINT (-46.634182 -23.5414795)
-23.5495812,-46.6385465,3,733.5558471679688,,,,POINT (-46.6385465 -23.5495812)
-23.5481572,-46.6387749,3,732.7290649414062,,,,POINT (-46.6387749 -23.5481572)
-23.5493388,-46.6387877,3,732.5946655273438,,,,POINT (-46.6387877 -23.5493388)
-23.5548213,-46.6371573,3,745.0453491210938,,,,POINT (-46.6371573 -23.5548213)
-23.5579874,-46.6385024,3,754.0613403320312,,,,POINT (-46.6385024 -23.5579874)
-23.5588307,-46.6388251,3,752.1748046875,,,,POINT (-46.6388251 -23.5588307)
-23.5590528,-46.6385968,3,752.9146118164062,,,,POINT (-46.6385968 -23.5590528)
-23.5659574,-46.6408524,3,772.778076171875,,,,POINT (-46.6408524 -23.5659574)
-23.5353192,-46.6334208,1,738.2188110351562,,,,POINT (-46.6334208 -23.5353192)
-23.5480122,-46.6490136,5,761.8875732421875,traffic_signals,,,POINT (-46.6490136 -23.5480122)
-23.5522917,-46.6376347,3,750.1315307617188,,,,POINT (-46.6376347 -23.5522917)
-23.5520563,-46.6359282,3,759.7947998046875,,,,POINT (-46.6359282 -23.5520563)
-23.5518993,-46.635442,5,762.1378173828125,traffic_signals,,,POINT (-46.635442 -23.5518993)
-23.5517667,-46.634943,4,761.756591796875,traffic_signals,,,POINT (-46.634943 -23.5517667)
-23.5519876,-46.6344161,3,762.0968627929688,,,,POINT (-46.6344161 -23.5519876)
-23.5520574,-46.6342543,3,761.765380859375,traffic_signals,,,POINT (-46.6342543 -23.5520574)
-23.5522027,-46.633903,3,761.2236328125,traffic_signals,,,POINT (-46.633903 -23.5522027)
-23.5525309,-46.6329267,4,759.287109375,traffic_signals,,,POINT (-46.6329267 -23.5525309)
-23.5517762,-46.6325558,3,756.644287109375,,,,POINT (-46.6325558 -23.5517762)
-23.5504696,-46.6319095,3,749.7579345703125,,,,POINT (-46.6319095 -23.5504696)
-23.5436912,-46.6344471,3,741.4453125,,,,POINT (-46.6344471 -23.5436912)
-23.5489282,-46.6367213,4,753.1760864257812,,,,POINT (-46.6367213 -23.5489282)
-23.5490104,-46.6348191,4,766.8875122070312,,,,POINT (-46.6348191 -23.5490104)
-23.5511669,-46.6354804,3,766.7500610351562,,,,POINT (-46.6354804 -23.5511669)
-23.5514227,-46.6353811,3,762.7861328125,traffic_signals,,,POINT (-46.6353811 -23.5514227)
-23.5451434,-46.6336403,4,753.0712280273438,traffic_signals,,,POINT (-46.6336403 -23.5451434)
-23.5457848,-46.6343111,3,765.607666015625,,,,POINT (-46.6343111 -23.5457848)
-23.5463114,-46.6343412,3,762.7515869140625,,,,POINT (-46.6343412 -23.5463114)
-23.5464565,-46.6343301,3,763.0426635742188,,,,POINT (-46.6343301 -23.5464565)
-23.5475077,-46.6341863,3,764.07421875,,,,POINT (-46.6341863 -23.5475077)
-23.5481162,-46.6339866,3,762.7777709960938,,,,POINT (-46.6339866 -23.5481162)
-23.5486947,-46.6346788,4,766.5288696289062,,,,POINT (-46.6346788 -23.5486947)
-23.5486338,-46.6322968,3,751.7048950195312,,,,POINT (-46.6322968 -23.5486338)
-23.549387,-46.6320901,4,748.6209716796875,traffic_signals,,,POINT (-46.6320901 -23.549387)
-23.5494719,-46.6328143,3,752.5549926757812,,,,POINT (-46.6328143 -23.5494719)
-23.5498556,-46.6319519,4,750.7824096679688,traffic_signals,,,POINT (-46.6319519 -23.5498556)
-23.5491452,-46.6294089,4,730.3878173828125,crossing,,,POINT (-46.6294089 -23.5491452)
-23.5493707,-46.6292544,3,729.8358764648438,crossing,,,POINT (-46.6292544 -23.5493707)
-23.5495082,-46.62898,3,728.296875,traffic_signals,,,POINT (-46.62898 -23.5495082)
-23.5519899,-46.6351037,4,762.2606811523438,crossing,,,POINT (-46.6351037 -23.5519899)
-23.5523781,-46.6345124,4,762.487548828125,traffic_signals,,,POINT (-46.6345124 -23.5523781)
-23.5528482,-46.6347419,3,765.8909301757812,crossing,,,POINT (-46.6347419 -23.5528482)
-23.5544431,-46.6355562,4,763.7875366210938,crossing,,,POINT (-46.6355562 -23.5544431)
-23.5546563,-46.6356661,3,763.79833984375,traffic_signals,,,POINT (-46.6356661 -23.5546563)
-23.5554251,-46.6360307,3,764.485107421875,traffic_signals,,,POINT (-46.6360307 -23.5554251)
-23.5593063,-46.6376933,4,766.7266235351562,traffic_signals,,,POINT (-46.6376933 -23.5593063)
-23.5582121,-46.6391686,4,761.3609619140625,,,,POINT (-46.6391686 -23.5582121)
-23.5593312,-46.6401017,3,764.1004028320312,,,,POINT (-46.6401017 -23.5593312)
-23.5588189,-46.6408305,4,768.5074462890625,,,,POINT (-46.6408305 -23.5588189)
-23.5577068,-46.6398548,3,763.1287841796875,,,,POINT (-46.6398548 -23.5577068)
-23.5597368,-46.6395684,3,758.2067260742188,,,,POINT (-46.6395684 -23.5597368)
-23.550842,-46.634488,3,761.913330078125,traffic_signals,,,POINT (-46.634488 -23.550842)
-23.5496444,-46.6363089,3,756.0165405273438,,,,POINT (-46.6363089 -23.5496444)
-23.5495799,-46.6366614,3,754.6067504882812,traffic_signals,,,POINT (-46.6366614 -23.5495799)
-23.5494279,-46.6374572,3,749.9365234375,,,,POINT (-46.6374572 -23.5494279)
-23.5501329,-46.6365356,3,757.4224243164062,,,,POINT (-46.6365356 -23.5501329)
-23.552893,-46.6355562,3,767.610107421875,,,,POINT (-46.6355562 -23.552893)
-23.5528826,-46.6346434,3,763.7427978515625,crossing,,,POINT (-46.6346434 -23.5528826)
-23.5554524,-46.6359047,4,764.1992797851562,traffic_signals,,,POINT (-46.6359047 -23.5554524)
-23.5567191,-46.6362791,3,762.2047119140625,traffic_signals,A-230,,POINT (-46.6362791 -23.5567191)
-23.5572532,-46.6364403,4,765.154296875,traffic_signals,,,POINT (-46.6364403 -23.5572532)
-23.5529895,-46.6331555,3,758.001708984375,,,,POINT (-46.6331555 -23.5529895)
-23.5524714,-46.6332336,3,759.3831787109375,,,,POINT (-46.6332336 -23.5524714)
-23.5555339,-46.6342403,4,753.4284057617188,traffic_signals,,,POINT (-46.6342403 -23.5555339)
-23.555491,-46.6352632,4,763.8049926757812,traffic_signals,,,POINT (-46.6352632 -23.555491)
-23.5554703,-46.6331061,4,742.6533813476562,traffic_signals,,,POINT (-46.6331061 -23.5554703)
-23.5534514,-46.6332639,3,754.8034057617188,traffic_signals,,,POINT (-46.6332639 -23.5534514)
-23.5544939,-46.6354285,4,763.8579711914062,crossing,,,POINT (-46.6354285 -23.5544939)
-23.5571857,-46.6351386,4,759.3432006835938,traffic_signals,,,POINT (-46.6351386 -23.5571857)
-23.5577713,-46.635098,3,763.3099365234375,,,,POINT (-46.635098 -23.5577713)
-23.5571091,-46.6341192,4,753.291259765625,traffic_signals,,,POINT (-46.6341192 -23.5571091)
-23.5570412,-46.6330029,4,744.5715942382812,traffic_signals,,,POINT (-46.6330029 -23.5570412)
-23.5482361,-46.6345403,3,766.4576416015625,,,,POINT (-46.6345403 -23.5482361)
-23.5476372,-46.6347082,4,765.7927856445312,,,,POINT (-46.6347082 -23.5476372)
-23.5463998,-46.6351055,3,759.1945190429688,,,,POINT (-46.6351055 -23.5463998)
-23.5460555,-46.6386039,4,746.0778198242188,crossing,,,POINT (-46.6386039 -23.5460555)
-23.5459249,-46.6387701,8,746.2413330078125,traffic_signals,,,POINT (-46.6387701 -23.5459249)
-23.5450802,-46.6380773,3,745.182861328125,,,,POINT (-46.6380773 -23.5450802)
-23.5446995,-46.6386448,3,744.8702392578125,traffic_signals,,,POINT (-46.6386448 -23.5446995)
-23.5455966,-46.6394281,4,749.8790893554688,,,,POINT (-46.6394281 -23.5455966)
-23.5469009,-46.6404666,3,749.8828125,crossing,,,POINT (-46.6404666 -23.5469009)
-23.547423,-46.6397608,3,746.19873046875,traffic_signals,,,POINT (-46.6397608 -23.547423)
-23.5505721,-46.6343559,3,757.6268920898438,,,,POINT (-46.6343559 -23.5505721)
-23.5511695,-46.6340198,3,760.7127685546875,,,,POINT (-46.6340198 -23.5511695)
-23.5525158,-46.630443,3,750.4174194335938,traffic_signals,,,POINT (-46.630443 -23.5525158)
-23.5516405,-46.6312351,3,754.8934936523438,,,,POINT (-46.6312351 -23.5516405)
-23.5537481,-46.6319924,3,749.753662109375,,,,POINT (-46.6319924 -23.5537481)
-23.5539581,-46.6311399,3,740.1953125,,,,POINT (-46.6311399 -23.5539581)
-23.5539735,-46.6310769,3,739.3076782226562,,,,POINT (-46.6310769 -23.5539735)
-23.5534267,-46.6309942,3,737.3177490234375,,,,POINT (-46.6309942 -23.5534267)
-23.5533244,-46.6313901,1,742.9915161132812,,,,POINT (-46.6313901 -23.5533244)
-23.5553904,-46.6319876,4,731.6195678710938,,,,POINT (-46.6319876 -23.5553904)
-23.5553236,-46.6310913,4,725.2173461914062,,,,POINT (-46.6310913 -23.5553236)
-23.5560866,-46.6319979,3,733.283447265625,,,,POINT (-46.6319979 -23.5560866)
-23.5559736,-46.6330693,3,743.8424682617188,traffic_signals,,,POINT (-46.6330693 -23.5559736)
-23.5569787,-46.6319891,4,735.7731323242188,,,,POINT (-46.6319891 -23.5569787)
-23.5553045,-46.6308289,3,726.504638671875,,,,POINT (-46.6308289 -23.5553045)
-23.5541514,-46.6303592,3,736.622314453125,,,,POINT (-46.6303592 -23.5541514)
-23.5536287,-46.6302011,3,730.7254028320312,,,,POINT (-46.6302011 -23.5536287)
-23.5510856,-46.6317373,6,752.101318359375,,,,POINT (-46.6317373 -23.5510856)
-23.5512131,-46.6307597,3,750.6211547851562,,,,POINT (-46.6307597 -23.5512131)
-23.5502441,-46.6315708,3,746.6936645507812,traffic_signals,,,POINT (-46.6315708 -23.5502441)
-23.5492637,-46.6310381,3,738.8343505859375,,,,POINT (-46.6310381 -23.5492637)
-23.5482606,-46.632462,3,750.4418334960938,,,,POINT (-46.632462 -23.5482606)
-23.5483711,-46.6327778,4,747.7320556640625,,,,POINT (-46.6327778 -23.5483711)
-23.5487396,-46.6326171,3,750.2767333984375,,,,POINT (-46.6326171 -23.5487396)
-23.5497736,-46.6307917,4,740.1282958984375,traffic_signals,,,POINT (-46.6307917 -23.5497736)
-23.5482349,-46.638363,3,733.8223266601562,,,,POINT (-46.638363 -23.5482349)
-23.547958,-46.6381083,4,733.87255859375,crossing,,,POINT (-46.6381083 -23.547958)
-23.54701,-46.6379608,3,731.5676879882812,,,,POINT (-46.6379608 -23.54701)
-23.5470445,-46.6381737,3,732.2830200195312,,,,POINT (-46.6381737 -23.5470445)
-23.5493392,-46.6413788,3,735.35986328125,,,,POINT (-46.6413788 -23.5493392)
-23.549039,-46.640862,3,734.248779296875,,,,POINT (-46.640862 -23.549039)
